"종목별","항목","단위","2019 년","2020 년","2021 년","2022 년","2023 년",
"계","필기접수[명]","명","2786759","2616011","3227486","2807962","3123934",
"계","필기응시[명]","명","2204230","2052155","2475561","2079866","2302069",
"계","필기합격[명]","명","1012917","982006","1140826","945713","1014306",
"계","필기합격률[%]","%","45.95","47.85","46.08","45.47","44.06",
"계","실기접수[명]","명","1937597","1932824","2342854","2024829","1955834",
"계","실기응시[명]","명","1700204","1645790","2000864","1712589","1679819",
"계","실기합격[명]","명","751734","697203","817293","714533","725455",
"계","실기합격률[%]","%","44.21","42.36","40.85","41.72","43.19",
"기술사","필기접수[명]","명","24806","24979","27267","26805","31725",
"기술사","필기응시[명]","명","21335","20583","22440","21941","26036",
"기술사","필기합격[명]","명","2387","1907","1790","1658","1536",
"기술사","필기합격률[%]","%","11.19","9.26","7.98","7.56","5.9",
"기술사","실기접수[명]","명","3787","3303","3097","2910","2753",
"기술사","실기응시[명]","명","3768","3276","3073","2894","2741",
"기술사","실기합격[명]","명","2227","1913","1731","1508","1376",
"기술사","실기합격률[%]","%","59.1","58.39","56.33","52.11","50.2",
"경영.회계.사무","필기접수[명]","명","310","242","275","225","289",
"경영.회계.사무","필기응시[명]","명","280","216","225","195","234",
"경영.회계.사무","필기합격[명]","명","77","33","84","60","84",
"경영.회계.사무","필기합격률[%]","%","27.5","15.28","37.33","30.77","35.9",
"경영.회계.사무","실기접수[명]","명","155","68","118","124","158",
"경영.회계.사무","실기응시[명]","명","153","67","115","123","158",
"경영.회계.사무","실기합격[명]","명","84","45","50","50","75",
"경영.회계.사무","실기합격률[%]","%","54.9","67.16","43.48","40.65","47.47",
"생산관리","필기접수[명]","명","310","242","275","225","289",
"생산관리","필기응시[명]","명","280","216","225","195","234",
"생산관리","필기합격[명]","명","77","33","84","60","84",
"생산관리","필기합격률[%]","%","27.5","15.28","37.33","30.77","35.9",
"생산관리","실기접수[명]","명","155","68","118","124","158",
"생산관리","실기응시[명]","명","153","67","115","123","158",
"생산관리","실기합격[명]","명","84","45","50","50","75",
"생산관리","실기합격률[%]","%","54.9","67.16","43.48","40.65","47.47",
"공장관리기술사","필기접수[명]","명","60","54","62","43","67",
"공장관리기술사","필기응시[명]","명","51","46","47","36","58",
"공장관리기술사","필기합격[명]","명","17","19","7","8","37",
"공장관리기술사","필기합격률[%]","%","33.33","41.3","14.89","22.22","63.79",
"공장관리기술사","실기접수[명]","명","27","27","12","13","43",
"공장관리기술사","실기응시[명]","명","27","27","12","13","43",
"공장관리기술사","실기합격[명]","명","17","21","5","4","23",
"공장관리기술사","실기합격률[%]","%","62.96","77.78","41.67","30.77","53.49",
"품질관리기술사","필기접수[명]","명","216","163","183","147","188",
"품질관리기술사","필기응시[명]","명","198","147","155","130","147",
"품질관리기술사","필기합격[명]","명","52","8","73","36","38",
"품질관리기술사","필기합격률[%]","%","26.26","5.44","47.1","27.69","25.85",
"품질관리기술사","실기접수[명]","명","117","33","100","95","96",
"품질관리기술사","실기응시[명]","명","115","32","97","94","96",
"품질관리기술사","실기합격[명]","명","58","19","39","40","42",
"품질관리기술사","실기합격률[%]","%","50.43","59.38","40.21","42.55","43.75",
"포장기술사","필기접수[명]","명","34","25","30","35","34",
"포장기술사","필기응시[명]","명","31","23","23","29","29",
"포장기술사","필기합격[명]","명","8","6","4","16","9",
"포장기술사","필기합격률[%]","%","25.81","26.09","17.39","55.17","31.03",
"포장기술사","실기접수[명]","명","11","8","6","16","19",
"포장기술사","실기응시[명]","명","11","8","6","16","19",
"포장기술사","실기합격[명]","명","9","5","6","6","10",
"포장기술사","실기합격률[%]","%","81.82","62.5","100","37.5","52.63",
"문화.예술.디자인.방송","필기접수[명]","명","10","17","25","20","27",
"문화.예술.디자인.방송","필기응시[명]","명","10","12","19","16","22",
"문화.예술.디자인.방송","필기합격[명]","명","3","8","14","11","18",
"문화.예술.디자인.방송","필기합격률[%]","%","30","66.67","73.68","68.75","81.82",
"문화.예술.디자인.방송","실기접수[명]","명","3","9","19","19","26",
"문화.예술.디자인.방송","실기응시[명]","명","3","9","18","19","26",
"문화.예술.디자인.방송","실기합격[명]","명","2","4","9","8","9",
"문화.예술.디자인.방송","실기합격률[%]","%","66.67","44.44","50","42.11","34.62",
"디자인","필기접수[명]","명","10","17","25","20","27",
"디자인","필기응시[명]","명","10","12","19","16","22",
"디자인","필기합격[명]","명","3","8","14","11","18",
"디자인","필기합격률[%]","%","30","66.67","73.68","68.75","81.82",
"디자인","실기접수[명]","명","3","9","19","19","26",
"디자인","실기응시[명]","명","3","9","18","19","26",
"디자인","실기합격[명]","명","2","4","9","8","9",
"디자인","실기합격률[%]","%","66.67","44.44","50","42.11","34.62",
"제품디자인기술사","필기접수[명]","명","10","17","25","20","27",
"제품디자인기술사","필기응시[명]","명","10","12","19","16","22",
"제품디자인기술사","필기합격[명]","명","3","8","14","11","18",
"제품디자인기술사","필기합격률[%]","%","30","66.67","73.68","68.75","81.82",
"제품디자인기술사","실기접수[명]","명","3","9","19","19","26",
"제품디자인기술사","실기응시[명]","명","3","9","18","19","26",
"제품디자인기술사","실기합격[명]","명","2","4","9","8","9",
"제품디자인기술사","실기합격률[%]","%","66.67","44.44","50","42.11","34.62",
"건설","필기접수[명]","명","11695","11781","13102","12249","14337",
"건설","필기응시[명]","명","9839","9474","10494","9779","11516",
"건설","필기합격[명]","명","1148","953","896","829","695",
"건설","필기합격률[%]","%","11.67","10.06","8.54","8.48","6.04",
"건설","실기접수[명]","명","1728","1501","1386","1326","1122",
"건설","실기응시[명]","명","1717","1487","1377","1316","1116",
"건설","실기합격[명]","명","1140","975","886","801","663",
"건설","실기합격률[%]","%","66.39","65.57","64.34","60.87","59.41",
"건축","필기접수[명]","명","4458","4707","5256","4765","5647",
"건축","필기응시[명]","명","3779","3863","4285","3818","4574",
"건축","필기합격[명]","명","334","328","246","272","164",
"건축","필기합격률[%]","%","8.84","8.49","5.74","7.12","3.59",
"건축","실기접수[명]","명","525","502","382","458","315",
"건축","실기응시[명]","명","524","499","379","455","314",
"건축","실기합격[명]","명","348","328","240","246","163",
"건축","실기합격률[%]","%","66.41","65.73","63.32","54.07","51.91",
"건축구조기술사","필기접수[명]","명","1052","1122","1190","1184","1377",
"건축구조기술사","필기응시[명]","명","914","965","1025","996","1145",
"건축구조기술사","필기합격[명]","명","59","25","60","75","21",
"건축구조기술사","필기합격률[%]","%","6.46","2.59","5.85","7.53","1.83",
"건축구조기술사","실기접수[명]","명","82","56","83","140","63",
"건축구조기술사","실기응시[명]","명","82","56","83","139","63",
"건축구조기술사","실기합격[명]","명","52","35","48","69","29",
"건축구조기술사","실기합격률[%]","%","63.41","62.5","57.83","49.64","46.03",
"건축기계설비기술사","필기접수[명]","명","407","429","569","551","664",
"건축기계설비기술사","필기응시[명]","명","346","354","461","450","546",
"건축기계설비기술사","필기합격[명]","명","34","36","34","22","19",
"건축기계설비기술사","필기합격률[%]","%","9.83","10.17","7.38","4.89","3.48",
"건축기계설비기술사","실기접수[명]","명","69","54","56","58","39",
"건축기계설비기술사","실기응시[명]","명","69","54","55","57","39",
"건축기계설비기술사","실기합격[명]","명","41","29","31","25","20",
"건축기계설비기술사","실기합격률[%]","%","59.42","53.7","56.36","43.86","51.28",
"건축시공기술사","필기접수[명]","명","2960","3101","3424","2966","3543",
"건축시공기술사","필기응시[명]","명","2486","2495","2739","2322","2828",
"건축시공기술사","필기합격[명]","명","233","260","147","171","122",
"건축시공기술사","필기합격률[%]","%","9.37","10.42","5.37","7.36","4.31",
"건축시공기술사","실기접수[명]","명","366","385","236","253","209",
"건축시공기술사","실기응시[명]","명","365","382","234","252","208",
